Age,Age_Group,Attriation_Num,Attrition,Attrition Status,Attrition_Flag,BusinessTravel,Current_Role_Tenure_Band,DailyRate,Department,dept,Distance_Band,DistanceFromHome,Education,Education_Label,EducationField,EmpID,Env_Sat_lable,EnvironmentSatisfaction,Experience_Band,Gender,HourlyRate,Income_Band,Job_Involve_lable,Job_Sat_lable,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,Overtime Custom,OverTime_Flag,PercentSalaryHike,PerformanceRating,Previous_Employers_Band,Promotion Band new,Sum of Promotion Band Sort,Promotion_Gap_Band,Relationship_Sat_lable,RelationshipSatisfaction,Salary_Hike_Band,StockOptionLevel,Tenure_Band,Total Working Experience Band,TrainingTimesLastYear,TotalWorkingYears,W_L_Balance_lable,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,Under 25,0,No,Active,0,Non-Travel,0-2 Years,287,Research & Development,R & D,0-5,5,2,College,Life Sciences,EMP-1012,Medium,2,0-5 Years,Male,73,$0-$3000,High,Very High,3,1,Research Scientist,4,Single,1051,13493,1,No,Standard,0,15,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,2,0,High,3,0,0,0,0
18,Under 25,0,No,Active,0,Non-Travel,0-2 Years,1124,Research & Development,R & D,0-5,1,3,Bachelor,Life Sciences,EMP-1368,Very High,4,0-5 Years,Female,97,$0-$3000,High,Very High,3,1,Laboratory Technician,4,Single,1611,19305,1,No,Standard,0,15,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,0-1 Years,0–5 Years,5,0,Very High,4,0,0,0,0
18,Under 25,0,No,Active,0,Non-Travel,0-2 Years,1431,Research & Development,R & D,11-20,14,3,Bachelor,Medical,EMP-1839,Medium,2,0-5 Years,Female,33,$0-$3000,High,High,3,1,Research Scientist,3,Single,1514,8018,1,No,Standard,0,16,3,1-2,0-1 Years,1,0-2 Years,High,3,16-20%,0,0-1 Years,0–5 Years,4,0,Low,1,0,0,0,0
18,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,812,Sales,Sales,6-10,10,3,Bachelor,Medical,EMP-411,Very High,4,0-5 Years,Female,69,$0-$3000,Medium,High,2,1,Sales Representative,3,Single,1200,9724,1,No,Standard,0,12,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,0-1 Years,0–5 Years,2,0,High,3,0,0,0,0
18,Under 25,1,Yes,Left,1,Non-Travel,0-2 Years,247,Research & Development,R & D,6-10,8,1,Below College,Medical,EMP-1156,High,3,0-5 Years,Male,80,$0-$3000,High,High,3,1,Laboratory Technician,3,Single,1904,13556,1,No,Standard,0,12,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,0,0,High,3,0,0,0,0
18,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,544,Sales,Sales,0-5,3,2,College,Medical,EMP-1624,Medium,2,0-5 Years,Female,70,$0-$3000,High,Very High,3,1,Sales Representative,4,Single,1569,18420,1,Yes,Overtime,1,12,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,0-1 Years,0–5 Years,2,0,Very High,4,0,0,0,0
18,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,1306,Sales,Sales,0-5,5,3,Bachelor,Marketing,EMP-614,Medium,2,0-5 Years,Male,69,$0-$3000,High,Medium,3,1,Sales Representative,2,Single,1878,8059,1,Yes,Overtime,1,14,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,3,0,High,3,0,0,0,0
18,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,230,Research & Development,R & D,0-5,3,3,Bachelor,Life Sciences,EMP-405,High,3,0-5 Years,Male,54,$0-$3000,High,High,3,1,Laboratory Technician,3,Single,1420,25233,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,0-1 Years,0–5 Years,2,0,High,3,0,0,0,0
19,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,265,Research & Development,R & D,21+,25,3,Bachelor,Life Sciences,EMP-1269,Medium,2,0-5 Years,Female,57,$0-$3000,Very High,Very High,4,1,Research Scientist,4,Single,2994,21221,1,Yes,Overtime,1,12,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,2,1,High,3,1,0,0,1
19,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,645,Research & Development,R & D,6-10,9,2,College,Life Sciences,EMP-1193,High,3,0-5 Years,Male,54,$0-$3000,High,Low,3,1,Research Scientist,1,Single,2552,7172,1,No,Standard,0,25,4,1-2,0-1 Years,1,0-2 Years,High,3,21%+,0,0-1 Years,0–5 Years,4,1,High,3,1,1,0,0
19,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,1181,Research & Development,R & D,0-5,3,1,Below College,Medical,EMP-201,Medium,2,0-5 Years,Female,79,$0-$3000,High,Medium,3,1,Laboratory Technician,2,Single,1483,16102,1,No,Standard,0,14,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,3,1,High,3,1,0,0,0
19,Under 25,1,Yes,Left,1,Non-Travel,0-2 Years,504,Research & Development,R & D,6-10,10,3,Bachelor,Medical,EMP-1248,Low,1,0-5 Years,Female,96,$0-$3000,Medium,Medium,2,1,Research Scientist,2,Single,1859,6148,1,Yes,Overtime,1,25,4,1-2,0-1 Years,1,0-2 Years,Medium,2,21%+,0,0-1 Years,0–5 Years,2,1,Very High,4,1,1,0,0
19,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,602,Sales,Sales,0-5,1,1,Below College,Technical Degree,EMP-235,High,3,0-5 Years,Female,100,$0-$3000,Low,Low,1,1,Sales Representative,1,Single,2325,20989,0,No,Standard,0,21,4,0,0-1 Years,1,0-2 Years,Low,1,21%+,0,0-1 Years,0–5 Years,5,1,Very High,4,0,0,0,0
19,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,303,Research & Development,R & D,0-5,2,3,Bachelor,Life Sciences,EMP-243,Medium,2,0-5 Years,Male,47,$0-$3000,Medium,Very High,2,1,Laboratory Technician,4,Single,1102,9241,1,No,Standard,0,22,4,1-2,0-1 Years,1,0-2 Years,High,3,21%+,0,0-1 Years,0–5 Years,3,1,Medium,2,1,0,1,0
19,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,419,Sales,Sales,21+,21,3,Bachelor,Other,EMP-959,Very High,4,0-5 Years,Male,37,$0-$3000,Medium,Medium,2,1,Sales Representative,2,Single,2121,9947,1,Yes,Overtime,1,13,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,0-1 Years,0–5 Years,3,1,Very High,4,1,0,0,0
19,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,489,Human Resources,HR,0-5,2,2,College,Technical Degree,EMP-566,Low,1,0-5 Years,Male,52,$0-$3000,Medium,Very High,2,1,Human Resources,4,Single,2564,18437,1,No,Standard,0,12,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,0-1 Years,0–5 Years,3,1,Very High,4,1,0,0,0
19,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,528,Sales,Sales,21+,22,1,Below College,Marketing,EMP-167,Very High,4,0-5 Years,Male,50,$0-$3000,High,High,3,1,Sales Representative,3,Single,1675,26820,1,Yes,Overtime,1,19,3,1-2,0-1 Years,1,0-2 Years,Very High,4,16-20%,0,0-1 Years,0–5 Years,2,0,Medium,2,0,0,0,0
20,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,654,Sales,Sales,21+,21,3,Bachelor,Marketing,EMP-1226,High,3,0-5 Years,Male,43,$0-$3000,Very High,Very High,4,1,Sales Representative,4,Single,2678,5050,1,No,Standard,0,17,3,1-2,2–3 Years,2,0-2 Years,Very High,4,16-20%,0,2-5 Years,0–5 Years,2,2,High,3,2,1,2,2
20,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,727,Sales,Sales,6-10,9,1,Below College,Life Sciences,EMP-1680,Very High,4,0-5 Years,Male,54,$0-$3000,High,Low,3,1,Sales Representative,1,Single,2728,21082,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,2-5 Years,0–5 Years,3,2,High,3,2,2,0,2
20,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,805,Research & Development,R & D,0-5,3,3,Bachelor,Life Sciences,EMP-1198,Low,1,0-5 Years,Male,87,$3000-$5000,Medium,High,2,1,Laboratory Technician,3,Single,3033,12828,1,No,Standard,0,12,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,2-5 Years,0–5 Years,2,2,Medium,2,2,2,1,2
20,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,959,Research & Development,R & D,0-5,1,3,Bachelor,Life Sciences,EMP-657,Very High,4,0-5 Years,Female,83,$0-$3000,Medium,Medium,2,1,Research Scientist,2,Single,2836,11757,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,0,1,Very High,4,1,0,0,0
20,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,1141,Sales,Sales,0-5,2,3,Bachelor,Medical,EMP-1657,High,3,0-5 Years,Female,31,$0-$3000,High,High,3,1,Sales Representative,3,Single,2783,13251,1,No,Standard,0,19,3,1-2,2–3 Years,2,0-2 Years,Low,1,16-20%,0,2-5 Years,0–5 Years,3,2,High,3,2,2,2,2
20,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,769,Sales,Sales,6-10,9,3,Bachelor,Marketing,EMP-1077,Very High,4,0-5 Years,Female,54,$0-$3000,High,Very High,3,1,Sales Representative,4,Single,2323,17205,1,Yes,Overtime,1,14,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,2-5 Years,0–5 Years,3,2,High,3,2,2,0,2
20,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,871,Research & Development,R & D,6-10,6,3,Bachelor,Life Sciences,EMP-137,Very High,4,0-5 Years,Female,66,$0-$3000,Medium,Very High,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,Overtime,1,18,3,1-2,0-1 Years,1,0-2 Years,Medium,2,16-20%,0,0-1 Years,0–5 Years,5,1,High,3,1,0,1,0
20,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,129,Research & Development,R & D,0-5,4,3,Bachelor,Technical Degree,EMP-960,Low,1,0-5 Years,Male,84,$0-$3000,High,Low,3,1,Laboratory Technician,1,Single,2973,13008,1,No,Standard,0,19,3,1-2,0-1 Years,1,0-2 Years,Medium,2,16-20%,0,0-1 Years,0–5 Years,2,1,High,3,1,0,0,0
20,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,500,Sales,Sales,0-5,2,3,Bachelor,Medical,EMP-922,High,3,0-5 Years,Female,49,$0-$3000,Medium,High,2,1,Sales Representative,3,Single,2044,22052,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,2-5 Years,0–5 Years,3,2,Medium,2,2,2,0,2
20,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,1097,Research & Development,R & D,11-20,11,3,Bachelor,Medical,EMP-1016,Very High,4,0-5 Years,Female,98,$0-$3000,Medium,Low,2,1,Research Scientist,1,Single,2600,18275,1,Yes,Overtime,1,15,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,0-1 Years,0–5 Years,2,1,High,3,1,0,0,0
20,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,1362,Research & Development,R & D,6-10,10,1,Below College,Medical,EMP-701,Very High,4,0-5 Years,Male,32,$0-$3000,High,High,3,1,Research Scientist,3,Single,1009,26999,1,Yes,Overtime,1,11,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,5,1,High,3,1,0,1,1
21,Under 25,0,No,Active,0,Non-Travel,0-2 Years,895,Sales,Sales,6-10,9,2,College,Medical,EMP-484,Low,1,0-5 Years,Male,39,$0-$3000,High,Very High,3,1,Sales Representative,4,Single,2610,2851,1,No,Standard,0,24,4,1-2,2–3 Years,2,0-2 Years,High,3,21%+,0,2-5 Years,0–5 Years,3,3,Medium,2,3,2,2,2
21,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,391,Research & Development,R & D,11-20,15,2,College,Life Sciences,EMP-30,High,3,0-5 Years,Male,96,$0-$3000,High,Very High,3,1,Research Scientist,4,Single,1232,19281,1,No,Standard,0,14,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,6,0,High,3,0,0,0,0
21,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,501,Sales,Sales,0-5,5,1,Below College,Medical,EMP-2021,High,3,0-5 Years,Male,58,$0-$3000,High,Low,3,1,Sales Representative,1,Single,2380,25479,1,Yes,Overtime,1,11,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,2-5 Years,0–5 Years,6,2,High,3,2,2,1,2
21,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,546,Research & Development,R & D,0-5,5,1,Below College,Medical,EMP-1623,High,3,0-5 Years,Male,97,$3000-$5000,High,Very High,3,1,Research Scientist,4,Single,3117,26009,1,No,Standard,0,18,3,1-2,2–3 Years,2,0-2 Years,High,3,16-20%,0,2-5 Years,0–5 Years,2,3,High,3,2,2,2,2
21,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,984,Research & Development,R & D,0-5,1,1,Below College,Technical Degree,EMP-1131,Very High,4,0-5 Years,Female,70,$0-$3000,Medium,Medium,2,1,Research Scientist,2,Single,2070,25326,1,Yes,Overtime,1,11,3,1-2,2–3 Years,2,0-2 Years,High,3,11-15%,0,2-5 Years,0–5 Years,6,2,Very High,4,2,2,2,2
21,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,996,Research & Development,R & D,0-5,3,2,College,Medical,EMP-379,Very High,4,0-5 Years,Male,100,$3000-$5000,Medium,High,2,1,Research Scientist,3,Single,3230,10531,1,No,Standard,0,17,3,1-2,0-1 Years,1,0-2 Years,Low,1,16-20%,0,2-5 Years,0–5 Years,4,3,Very High,4,3,2,1,0
21,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,1343,Sales,Sales,21+,22,1,Below College,Technical Degree,EMP-669,High,3,0-5 Years,Male,49,$3000-$5000,High,High,3,1,Sales Representative,3,Single,3447,24444,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,0–5 Years,2,3,High,3,3,2,1,2
21,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,251,Research & Development,R & D,6-10,10,2,College,Life Sciences,EMP-1279,Low,1,0-5 Years,Female,45,$0-$3000,Medium,High,2,1,Laboratory Technician,3,Single,2625,25308,1,No,Standard,0,20,4,1-2,2–3 Years,2,0-2 Years,High,3,16-20%,0,2-5 Years,0–5 Years,2,2,Low,1,2,2,2,2
21,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,756,Sales,Sales,0-5,1,1,Below College,Technical Degree,EMP-478,Low,1,0-5 Years,Female,99,$0-$3000,Medium,Medium,2,1,Sales Representative,2,Single,2174,9150,1,Yes,Overtime,1,11,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,0–5 Years,3,3,High,3,3,2,1,2
21,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,156,Sales,Sales,11-20,12,3,Bachelor,Life Sciences,EMP-494,High,3,0-5 Years,Female,90,$0-$3000,Very High,Medium,4,1,Sales Representative,2,Single,2716,25422,1,No,Standard,0,15,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,0-1 Years,0–5 Years,0,1,High,3,1,0,0,0
21,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,337,Sales,Sales,6-10,7,1,Below College,Marketing,EMP-1780,Medium,2,0-5 Years,Male,31,$0-$3000,High,Medium,3,1,Sales Representative,2,Single,2679,4567,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,0-1 Years,0–5 Years,3,1,High,3,1,0,1,0
